Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-12-11,Emiliano Martínez,Matchweek 16,Away,L 0–1,Aston Villa,Liverpool,Y,GK,90,4,1,3,100,0,1.4,1,1,0,0,7,28,25,33,6,60.6,45.8,10,80,55.7,10,0,0,0,11.2
2021-12-14,Emiliano Martínez,Matchweek 17,Away,W 2–0,Aston Villa,Norwich City,Y,GK,90,3,0,3,100,1,0.1,0,0,0,0,8,14,57.1,18,5,55.6,42.2,6,66.7,47.2,8,0,0,1,13
2021-12-26,Emiliano Martínez,Matchweek 19,Home,L 1–3,Aston Villa,Chelsea,Y,GK,90,2,3,1,50,0,2.6,2,2,0,0,10,13,76.9,26,3,34.6,31.2,7,57.1,41.6,11,1,9.1,1,14.9
2022-03-10,Emiliano Martínez,Matchweek 20,Away,W 3–0,Aston Villa,Leeds United,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,4,6,66.7,18,5,16.7,26.6,9,33.3,34.7,9,2,22.2,1,15.7
2022-01-02,Emiliano Martínez,Matchweek 21,Away,L 1–2,Aston Villa,Brentford,Y,GK,90,4,2,2,50,0,0.9,0,0,0,0,7,14,50,22,1,36.4,34.6,9,66.7,49.2,9,1,11.1,0,9
2022-01-15,Emiliano Martínez,Matchweek 22,Home,D 2–2,Aston Villa,Manchester Utd,Y,GK,90,6,2,4,66.7,0,1.3,0,0,0,0,1,5,20,17,4,29.4,32.8,5,0,26.4,7,1,14.3,0,9
2022-01-22,Emiliano Martínez,Matchweek 23,Away,W 1–0,Aston Villa,Everton,Y,GK,90,1,0,1,100,1,0.4,0,0,0,0,6,19,31.6,21,3,61.9,47.8,11,54.5,42.7,6,0,0,2,14.3
2022-02-09,Emiliano Martínez,Matchweek 24,Home,D 3–3,Aston Villa,Leeds United,Y,GK,90,7,3,4,57.1,0,2.7,0,0,0,0,2,9,22.2,19,3,42.1,35.1,8,12.5,23.8,7,1,14.3,0,18
2022-02-13,Emiliano Martínez,Matchweek 25,Away,L 0–1,Aston Villa,Newcastle Utd,Y,GK,90,2,1,1,50,0,0.7,0,0,0,0,2,8,25,21,5,28.6,29.8,5,40,38,5,0,0,1,26.3
2022-02-19,Emiliano Martínez,Matchweek 26,Home,L 0–1,Aston Villa,Watford,Y,GK,90,4,1,3,75,0,1.7,0,0,0,0,3,6,50,16,8,31.3,31.4,6,16.7,25.3,5,1,20,1,14.1
2022-02-26,Emiliano Martínez,Matchweek 27,Away,W 2–0,Aston Villa,Brighton,Y,GK,90,1,0,1,100,1,0.1,0,0,0,0,6,15,40,22,6,36.4,38,10,70,58.5,14,0,0,0,13.4
2022-03-05,Emiliano Martínez,Matchweek 28,Home,W 4–0,Aston Villa,Southampton,Y,GK,90,1,0,1,100,1,0.3,0,0,0,0,5,15,33.3,21,1,57.1,45.9,10,30,31.1,8,0,0,0,8.5
2022-03-13,Emiliano Martínez,Matchweek 29,Away,L 1–2,Aston Villa,West Ham,Y,GK,90,4,2,2,50,0,1.4,0,0,0,0,4,9,44.4,21,2,28.6,26.1,10,30,23.7,10,0,0,0,17
2022-03-19,Emiliano Martínez,Matchweek 30,Home,L 0–1,Aston Villa,Arsenal,Y,GK,90,3,1,2,66.7,0,0.4,0,0,0,0,10,14,71.4,32,5,40.6,33.6,7,14.3,22.7,7,0,0,2,15.3
2022-04-02,Emiliano Martínez,Matchweek 31,Away,L 1–2,Aston Villa,Wolves,Y,GK,90,4,2,3,50,0,0.6,0,0,0,0,2,5,40,20,4,25,30.3,5,0,26.4,6,0,0,2,18
2022-04-09,Emiliano Martínez,Matchweek 32,Home,L 0–4,Aston Villa,Tottenham,Y,GK,90,5,4,1,20,0,3.1,0,0,0,0,0,1,0,9,2,11.1,22.4,4,0,15.5,1,0,0,1,23
2021-08-14,Alisson,Matchweek 1,Away,W 3–0,Liverpool,Norwich City,Y,GK,90,4,0,4,100,1,1,0,0,0,0,6,9,66.7,22,4,22.7,32.6,8,50,45.8,12,0,0,2,24.3
2021-08-21,Alisson,Matchweek 2,Home,W 2–0,Liverpool,Burnley,Y,GK,90,3,0,3,100,1,0.7,0,0,0,0,6,13,46.2,40,5,25,31.9,6,50,41.5,10,1,10,1,16.5
2021-08-28,Alisson,Matchweek 3,Home,D 1–1,Liverpool,Chelsea,Y,GK,90,2,1,1,50,0,0.4,0,0,0,0,1,3,33.3,22,7,13.6,25,1,0,17,6,1,16.7,2,16.9
2021-09-12,Alisson,Matchweek 4,Away,W 3–0,Liverpool,Leeds United,Y,GK,90,4,0,4,100,1,1.5,0,0,0,0,6,9,66.7,36,2,16.7,30.4,5,60,47.8,11,1,9.1,0,15
2021-09-18,Alisson,Matchweek 5,Home,W 3–0,Liverpool,Crystal Palace,Y,GK,90,2,0,2,100,1,0.2,0,0,0,0,7,13,53.8,22,4,40.9,37.3,6,66.7,42.3,10,2,20,2,14.4
2021-09-25,Alisson,Matchweek 6,Away,D 3–3,Liverpool,Brentford,Y,GK,90,3,3,0,0,0,1.4,0,0,0,0,10,14,71.4,23,6,39.1,37.4,7,71.4,49.7,10,1,10,2,16.9
2021-10-03,Alisson,Matchweek 7,Home,D 2–2,Liverpool,Manchester City,Y,GK,90,3,2,1,33.3,0,1.2,0,0,0,0,7,12,58.3,44,5,18.2,25.9,10,40,38,6,0,0,0,14
2021-10-24,Alisson,Matchweek 9,Away,W 5–0,Liverpool,Manchester Utd,Y,GK,90,3,0,3,100,1,0.4,0,0,0,0,6,11,54.5,23,3,34.8,35.7,7,42.9,38.3,9,1,11.1,2,16.8
2021-10-30,Alisson,Matchweek 10,Home,D 2–2,Liverpool,Brighton,Y,GK,90,6,2,3,66.7,0,1.4,0,0,0,0,5,9,55.6,35,12,22.9,28.9,3,33.3,35.7,3,1,33.3,1,15.2
2021-11-07,Alisson,Matchweek 11,Away,L 2–3,Liverpool,West Ham,Y,GK,90,3,3,1,0,0,0.6,0,0,0,0,1,2,50,23,5,8.7,25.9,3,0,21.3,8,1,12.5,1,16.8
